phi,intensity_dB
179.50000000000006,-15.301158700600045
179.0,-15.377094972067042
178.50000000000006,-15.377094972067042
178.0,-15.453031243534037
177.0,-15.642871922201527
176.5,-15.718808193668533
176.0,-15.75677632940203
175.5,-15.79474446513553
175.0,-15.908648872336029
174.5,-15.908648872336029
174.00000000000006,-15.908648872336029
173.03867403314922,-16.11111111111111
172.04419889502765,-16.333333333333336
171.5469613259669,-16.44444444444445
170.55248618784532,-16.666666666666668
169.55801104972386,-16.888888888888893
168.5635359116023,-17.11111111111111
167.5,-17.503310573142976
167.00000000000006,-17.655183116076973
166.5,-17.882991930477967
166.0,-18.034864473411957
165.5,-18.262673287812955
165.0,-18.49048210221395
164.5,-18.718290916614936
164.0,-18.75625905234844
163.5,-18.98406786674943
163.0,-19.363749224084422
162.50000000000006,-19.47765363128492
162.0,-19.895303124353404
161.50000000000006,-20.009207531553898
161.0,-20.350920753155393
160.50000000000006,-20.61669770328988
160.0,-21.148251603558865
159.50000000000006,-21.30012414649286
159.0,-21.717773639561347
158.50000000000006,-21.90761431822884
158.0,-22.515104489964823
157.50000000000006,-22.818849575832814
157.0,-23.388371611835296
156.50000000000006,-23.730084833436788
156.0,-24.413511276639767
155.5,-24.64132009104076
155.0,-24.907097041175252
154.5,-25.894268570246226
154.0,-26.31191806331471
153.5,-26.881440099317192
152.65193370165747,-28.444444444444446
152.15469613259677,-29.55555555555556
151.5,-31.36168011587006
150.66298342541444,-33.55555555555556
150.16574585635368,-34.55555555555556
149.66850828729287,-35.00000000000001
149.1712707182321,-35.44444444444444
148.17679558011054,-35.77777777777778
147.5,-35.00662114628595
147.00000000000006,-33.98148148148148
146.6850828729282,-32.77777777777778
146.18784530386745,-31.444444444444446
145.69060773480663,-30.88888888888889
145.19337016574588,-30.11111111111112
144.69613259668512,-29.666666666666675
144.1988950276243,-28.777777777777786
143.70165745856357,-27.666666666666675
143.2044198895028,-26.88888888888889
142.7071823204421,-26.000000000000004
142.0,-25.210842127043243
141.5,-24.60335195530726
141.0,-23.76805296917029
140.50000000000006,-23.426339747568797
140.0,-23.12259466170081
139.50000000000006,-22.62900889716532
139.2265193370166,-22.222222222222225
138.50000000000006,-21.869646182495348
138.0,-21.376060417959863
137.50000000000006,-21.034347196358368
137.0,-20.76857024622388
136.50000000000006,-20.31295261742189
135.7458563535912,-20.000000000000004
134.75138121546962,-19.55555555555556
133.75690607734816,-19.11111111111111
132.5,-18.64235464514794
132.0,-18.566418373680943
131.5,-18.414545830746945
131.0,-18.33860955927995
130.5,-18.18673701634596
130.0,-18.07283260914546
129.5,-17.92096006621146
129.00000000000006,-17.882991930477967
126.5,-17.503310573142976
126.00000000000006,-17.389406165942482
125.5,-17.35143803020898
125.00000000000006,-17.35143803020898
124.5,-17.313469894475478
124.00000000000006,-17.23753362300848
123.5,-17.23753362300848
120.5,-17.275501758741985
120.0,-17.275501758741985
119.5,-17.313469894475478
119.0,-17.313469894475478
118.5,-17.35143803020898
118.0,-17.35143803020898
117.50000000000006,-17.35143803020898
117.0,-17.35143803020898
114.50000000000006,-17.76908752327747
114.0,-17.807055659010963
113.50000000000006,-17.958928201944964
113.0,-18.07283260914546
112.50000000000006,-18.148768880612455
112.0,-18.22470515207945
111.50000000000006,-18.262673287812955
109.5,-18.794227188081937
109.0,-18.90813159528243
108.5,-18.90813159528243
108.0,-19.06000413821643
107.5,-19.06000413821643
107.00000000000006,-19.135940409683425
106.5,-19.17390854541693
106.00000000000006,-19.17390854541693
105.5,-19.135940409683425
104.00000000000006,-18.832195323815434
103.5,-18.794227188081937
103.0,-18.718290916614936
102.5,-18.64235464514794
102.0,-18.528450237947443
101.5,-18.300641423546452
101.0,-18.18673701634596
100.5,-17.958928201944964
100.0,-17.92096006621146
99.5,-17.731119387543966
99.0,-17.389406165942482
98.5,-17.23753362300848
98.0,-17.123629215807984
97.5,-16.895820401406997
97.0,-16.743947858472996
96.5,-16.592075315539006
96.0,-16.516139044072002
94.5,-15.94661700806952
94.0,-15.908648872336029
93.5,-15.79474446513553
93.0,-15.604903786468036
92.5,-15.49099937926754
92.0,-15.263190564866544
91.5,-15.187254293399548
91.0,-14.883509207531556
90.5,-14.693668528864062
90.0,-14.465859714463068
89.5,-14.351955307262568
89.0,-14.200082764328576
88.5,-14.086178357128077
87.0,-13.516656321125598
86.5,-13.478688185392096
86.0,-13.326815642458104
85.5,-13.212911235257607
85.0,-13.174943099524109
84.50000000000006,-13.06103869232361
84.00000000000006,-12.98510242085661
83.50000000000006,-12.909166149389616
83.0,-12.871198013656116
81.5,-12.75729360645562
81.0,-12.79526174218912
80.5,-12.83322987792262
80.0,-12.909166149389616
79.5,-12.98510242085661
79.0,-13.023070556590111
78.5,-13.136974963790609
78.0,-13.212911235257607
77.5,-13.326815642458104
77.0,-13.3647837781916
76.5,-13.4027519139251
75.58011049723763,-13.555555555555555
75.0,-13.744465135526587
74.5,-13.82040140699359
74.0,-13.934305814194085
73.5,-13.972273949927583
73.00000000000006,-14.04821022139458
72.50000000000006,-14.086178357128077
72.0,-14.162114628595075
71.10497237569064,-14.333333333333336
70.5,-14.579764121663564
70.0,-14.731636664597556
69.5,-14.80757293606456
69.0,-15.07334988619905
68.5,-15.149286157666044
68.12154696132598,-15.44444444444445
67.5,-15.75677632940203
67.0,-15.870680736602528
66.5,-16.174425822470518
65.63535911602213,-16.555555555555557
65.0,-16.857852265673497
64.5,-17.009724808607487
64.0,-17.123629215807984
63.5,-17.313469894475478
63.0,-17.389406165942482
62.5,-17.503310573142976
62.00000000000006,-17.503310573142976
61.50000000000006,-17.427374301675975
61.0,-17.427374301675975
60.5,-17.35143803020898
59.66850828729281,-17.11111111111111
59.0,-16.857852265673497
58.5,-16.743947858472996
57.0,-16.25036209393751
56.18784530386745,-15.888888888888893
55.5,-15.415063107800542
55.0,-15.149286157666044
54.1988950276243,-14.555555555555555
53.5,-14.12414649286158
53.0,-13.858369542727086
52.5,-13.668528864059592
52.0,-13.326815642458104
51.5,-13.212911235257607
51.0,-12.567452927788125
50.50000000000006,-12.11183529898614
50.0,-11.959962756052144
49.5,-11.542313262983654
49.0,-11.42840885578316
48.729281767955854,-11.000000000000004
48.23204419889504,-10.666666666666668
47.0,-9.947651562176702
46.24309392265195,-9.555555555555555
45.74585635359119,-9.11111111111111
45.0,-8.694703082971238
44.5,-8.390957997103246
44.0,-8.27705358990275
43.5,-8.087212911235255
43.0,-8.011276639768262
42.5,-7.365818332298779
42.0,-7.251913925098283
41.5,-7.175977653631283
41.0,-6.910200703496794
40.5,-6.796296296296295
40.0,-6.5684874818953025
38.5,-5.960997310159322
38.0,-5.771156631491826
37.5,-5.657252224291331
37.0,-5.35350713842334
36.5,-5.3155390026898415
36.0,-5.1256983240223475
34.80662983425418,-4.777777777777778
34.0,-4.518208152286365
33.5,-4.442271880819367
33.0,-4.404303745085868
32.5,-4.214463066418372
32.0,-4.100558659217877
31.5,-3.986654252017378
31.0,-3.910717980550383
29.337016574585675,-3.4444444444444455
28.342541436464103,-3.2222222222222223
27.34806629834253,-2.999999999999999
26.5,-2.809642044278915
26.0,-2.7716739085454174
25.5,-2.6577695013449194
24.5,-2.505896958410924
23.0,-2.2780881440099323
22.5,-2.1641837368094343
22.0,-2.0882474653424365
21.5,-2.0123111938754388
21.0,-1.8604386509414432
20.5,-1.7845023794744472
20.0,-1.6326298365404517
19.5,-1.556693565073452
19.0,-1.442789157872956
18.5,-1.4048210221394584
18.0,-1.2529484792054628
17.5,-1.2149803434719626
17.000000000000057,-1.063107800537967
16.5,-1.063107800537967
16.0,-0.9871715290709692
15.5,-0.9492033933374716
15.0,-0.9112352576039716
14.5,-0.8352989861369755
14.0,-0.759362714669976
13.5,-0.68342644320298
13.0,-0.68342644320298
12.5,-0.6074901717359822
12.0,-0.5315539002689844
11.5,-0.4556176288019866
11.0,-0.3796813573349888
10.5,-0.3417132216014886
10.0,-0.3417132216014886
9.500000000000028,-0.2657769501344909
9.000000000000028,-0.2278088144009933
8.500000000000028,-0.1898406786674931
8.000000000000028,-0.1898406786674931
7.500000000000028,-0.1518725429339955
7.000000000000028,-0.1518725429339955
6.500000000000028,-0.1518725429339955
6.000000000000028,-0.0759362714669977
5.5,-0.0759362714669977
5.0,-0.0379681357334975
4.5,-0.0379681357334975
4.0,-0.0379681357334975
3.5,-0.0379681357334975
3.0,-0.0379681357334975
1.0,-0.0379681357334975
0.5,-0.0759362714669977
0.0,-0.0379681357334975
-0.5,-0.0379681357334975
-1.0,-0.0379681357334975
-1.4999999999999716,-0.0379681357334975
