phi,intensity_dB
179.50000000000006,-8.77908067542214
179.0,-8.779080675422136
178.5,-8.77908067542214
177.99999999999994,-8.818805022369748
177.5,-8.818805022369748
177.0,-8.818805022369752
176.5,-8.818805022369748
176.0,-8.818805022369748
175.5,-8.858529369317363
175.0,-8.898253716264968
174.5,-8.898253716264971
174.00000000000006,-8.898253716264975
173.5,-8.898253716264971
173.0,-9.017426757107806
172.50000000000006,-9.01742675710781
172.0,-9.057151104055418
171.5,-9.057151104055414
171.00000000000006,-9.05715110405542
170.5,-9.09687545100303
169.0909090909091,-9.12269548633186
168.09917355371903,-9.0079465988557
166.6115702479339,-9.008900190718386
165.0,-8.858529369317363
164.5,-8.818805022369752
164.00000000000006,-8.77908067542214
163.5,-8.739356328474525
163.0,-8.699631981526913
162.50000000000006,-8.699631981526917
162.0,-8.659907634579305
161.5,-8.659907634579305
160.99999999999994,-8.699631981526913
160.0,-8.699631981526913
159.49999999999994,-8.699631981526917
159.0,-8.77908067542214
158.5,-8.779080675422136
158.0,-8.858529369317363
157.5,-8.937978063212586
156.19834710743805,-9.13095994914178
155.20661157024796,-9.362364907819462
154.2148760330578,-9.709154481881765
153.5,-10.089984124693316
153.0,-10.169432818588536
152.49999999999994,-10.328330206378986
152.0,-10.68584932890749
151.5,-10.844746716697934
151.23966942148763,-11.211061665607131
150.74380165289256,-11.557533375715206
149.75206611570252,-12.019707565162122
148.2644628099174,-12.482199618563264
147.5,-12.7912397171309
147.00000000000006,-12.950137104921346
146.5,-13.02958579881657
146.0,-13.109034492711793
145.50000000000006,-13.307656227449844
145.0,-13.426829268292682
144.5,-13.466553615240294
143.99999999999994,-13.585726656083132
143.5,-13.704899696925969
143.0,-13.90352143166402
142.49999999999994,-13.98297012555924
142.0,-14.062418819454464
141.3223140495868,-14.563572790845528
140.5,-15.095251840092365
140.00000000000006,-15.571944003463702
139.5,-16.247257901573096
139.0,-17.121193534420552
138.50000000000006,-17.79650743252994
138.0,-18.86906480011545
137.5,-20.179968249386636
137.00000000000006,-20.57721171886275
136.5,-21.37169865781498
135.8677685950413,-22.990146217418957
135.37190082644628,-25.067387158296263
134.87603305785126,-27.260012714558183
134.38016528925618,-28.06802288620472
133.88429752066116,-26.799109980928176
133.5,-26.13862029152835
