phi,intensity_dB
180.0,-15.263190564866544
179.50000000000006,-15.263190564866544
179.0,-15.301158700600045
178.50000000000006,-15.377094972067042
178.0,-15.415063107800542
177.0165745856354,-15.555555555555555
176.0,-15.642871922201527
175.5,-15.680840057935033
175.0,-15.75677632940203
174.5,-15.832712600869025
173.03867403314922,-16.000000000000004
172.5,-16.136457686737014
171.5,-16.25036209393751
171.00000000000006,-16.288330229671015
170.5,-16.40223463687151
170.00000000000006,-16.47817090833851
169.5,-16.705979722739496
169.00000000000006,-16.819884129939993
168.5,-17.047692944340987
168.00000000000006,-17.123629215807984
167.5,-17.427374301675975
167.00000000000006,-17.655183116076973
166.5,-17.76908752327747
166.0,-17.882991930477967
165.5,-18.148768880612455
165.0,-18.376577695013452
164.5,-18.60438650941444
164.0,-18.718290916614936
163.5,-18.90813159528243
163.0,-19.287812952617426
162.50000000000006,-19.47765363128492
162.0,-19.9332712600869
161.50000000000006,-20.0471756672874
161.0,-20.31295261742189
160.50000000000006,-20.61669770328988
160.0,-20.92044278915787
159.50000000000006,-21.072315332091872
159.0,-21.75574177529485
158.50000000000006,-21.94558245396234
158.0,-22.515104489964823
157.50000000000006,-22.818849575832814
157.0,-23.388371611835296
156.50000000000006,-23.76805296917029
156.0,-24.37554314090627
155.5,-24.67928822677426
155.0,-24.907097041175252
154.64088397790056,-25.55555555555556
154.0,-26.235981791847713
153.5,-26.7675356921167
153.14917127071823,-27.333333333333332
152.65193370165747,-27.777777777777786
152.00000000000006,-28.514069935857652
151.1602209944752,-29.11111111111112
150.66298342541444,-29.777777777777786
150.00000000000006,-30.526381129733092
149.66850828729287,-30.777777777777786
149.1712707182321,-31.222222222222225
148.6740331491713,-31.666666666666675
147.67955801104978,-31.88888888888889
147.18232044198896,-31.88888888888889
146.6850828729282,-31.777777777777786
146.18784530386745,-31.444444444444446
145.69060773480663,-31.000000000000004
145.19337016574588,-30.444444444444446
144.69613259668512,-29.777777777777786
144.0,-29.197496379060627
143.5,-28.590006207324645
142.5,-28.096420442789164
142.0,-27.640802813987175
141.5,-27.337057728119188
141.0,-26.881440099317192
140.50000000000006,-26.5776950134492
140.0,-26.16004552038072
139.50000000000006,-25.970204841713223
139.0,-25.552555348644734
138.50000000000006,-25.400682805710737
138.0,-25.058969584109253
137.50000000000006,-24.793192633974755
137.0,-24.71725636250776
136.50000000000006,-24.413511276639767
136.0,-24.29960686943927
135.50000000000006,-24.071798055038283
135.0,-23.91992551210428
134.50000000000006,-23.730084833436788
134.0,-23.61618042623629
133.5,-23.4643078833023
133.0,-23.350403476101803
132.5,-23.236499068901303
132.0,-23.1985309331678
131.5,-23.08462652596731
131.0,-23.08462652596731
130.5,-23.00869025450031
130.0,-23.00869025450031
129.5,-22.93275398303331
129.00000000000006,-22.93275398303331
128.5,-22.93275398303331
128.00000000000006,-22.93275398303331
127.5,-22.93275398303331
127.00000000000006,-23.00869025450031
126.5,-23.00869025450031
126.00000000000006,-23.046658390233812
125.5,-23.08462652596731
125.00000000000006,-23.16056279743431
124.5,-23.1985309331678
124.00000000000006,-23.274467204634806
123.5,-23.3124353403683
123.00000000000006,-23.426339747568797
122.5,-23.502276019035794
122.0,-23.57821229050279
121.5,-23.65414856196979
121.0,-23.76805296917029
120.5,-23.843989240637285
120.0,-23.99586178357128
119.5,-24.185702462238773
119.0,-24.223670597972273
118.5,-24.45147941237327
118.0,-24.527415683840264
117.50000000000006,-24.67928822677426
117.0,-24.793192633974755
116.50000000000006,-24.945065176908756
116.0,-25.058969584109253
115.50000000000006,-25.28677839851024
115.0,-25.362714669977244
114.50000000000006,-25.552555348644734
114.0,-25.666459755845235
113.50000000000006,-25.894268570246226
113.0,-25.970204841713223
112.50000000000006,-26.198013656114213
112.0,-26.31191806331471
111.50000000000006,-26.425822470515207
111.0,-26.653631284916205
110.5,-26.7295675563832
110.0,-26.957376370784193
109.5,-27.109248913718194
109.0,-27.261121456652187
108.5,-27.41299399958618
108.0,-27.640802813987175
107.5,-27.75470722118767
107.00000000000006,-28.020484171322163
106.5,-28.172356714256157
106.00000000000006,-28.47610180012415
105.5,-28.552038071591145
105.00000000000006,-28.85578315745914
104.5,-29.007655700393133
104.00000000000006,-29.311400786261128
103.5,-29.425305193461615
103.0,-29.76701841506311
102.5,-29.956859093730603
102.0,-30.2606041795986
101.5,-30.526381129733092
101.0,-30.716221808400583
100.5,-31.019966894268567
99.9447513812155,-31.444444444444446
99.44751381215474,-31.88888888888889
99.0,-32.12104283054004
98.5,-32.614628595075516
98.0,-32.88040554521002
97.5,-33.487895716946
97.0,-33.82960893854749
96.5,-34.32319470308297
96.0,-34.93068487481895
95.4696132596685,-35.44444444444444
95.00000000000006,-35.99379267535692
94.5,-36.8290916614939
93.97790055248625,-37.44444444444444
93.5,-37.93016759776536
93.48066298342547,-38.55555555555556
92.98342541436466,-39.00000000000001
92.5,-39.82857438444031
91.98895027624314,-40.88888888888889
91.49171270718232,-41.666666666666664
90.99447513812156,-42.55555555555556
90.4972375690608,-43.666666666666664
90.00000000000006,-44.44444444444444
89.5027624309393,-44.88888888888889
89.00552486187848,-45.666666666666664
88.50828729281773,-44.88888888888889
88.0,-44.00506931512518
87.5,-42.22056693565074
87.0165745856354,-40.111111111111114
86.5,-38.99327539830333
86.0,-38.00610386923236
85.5,-37.36064556176288
85.0,-36.9050279329609
84.50000000000006,-35.76598386095593
84.00000000000006,-35.00662114628595
83.50000000000006,-34.133354024415475
83.0,-33.67773639561349
82.5414364640884,-32.888888888888886
82.0,-32.34885164494103
81.54696132596689,-31.777777777777786
81.0,-31.095903165735574
80.55248618784537,-30.666666666666675
80.0,-30.22263604386509
79.5,-29.577177736395615
79.0,-29.273432650527628
78.5,-28.703910614525142
78.0,-28.552038071591145
77.5,-28.096420442789164
77.0,-27.86861162838817
76.5,-27.602834678253675
76.0,-27.185185185185187
75.5,-27.033312642251182
75.0,-26.6915994206497
74.5,-26.5776950134492
74.0,-26.235981791847713
73.5,-26.122077384647216
73.00000000000006,-25.894268570246226
72.50000000000006,-25.780364163045725
72.0,-25.59052348437823
71.5,-25.51458721291123
71.0,-25.400682805710737
70.5,-25.362714669977244
70.0,-25.32474653424374
69.5,-25.32474653424374
69.0,-25.32474653424374
68.5,-25.32474653424374
68.0,-25.32474653424374
67.5,-25.362714669977244
67.0,-25.362714669977244
66.5,-25.438650941444237
66.0,-25.438650941444237
65.5,-25.51458721291123
65.0,-25.51458721291123
64.5,-25.51458721291123
64.0,-25.51458721291123
63.5,-25.51458721291123
63.0,-25.51458721291123
62.5,-25.438650941444237
62.00000000000006,-25.400682805710737
61.50000000000006,-25.248810262776747
61.0,-25.096937719842742
60.5,-24.831160769708255
60.0,-24.67928822677426
59.17127071823205,-24.333333333333336
58.5,-23.76805296917029
58.0,-23.236499068901303
57.5,-22.93275398303331
57.18232044198896,-22.333333333333336
56.685082872928206,-21.888888888888893
56.18784530386745,-21.666666666666668
55.69060773480663,-21.333333333333336
55.5,-20.996379060624868
55.193370165745876,-20.666666666666668
55.0,-20.426857024622382
54.5,-20.1610800744879
54.0,-19.705462445685907
53.7016574585636,-19.333333333333336
53.20441988950279,-19.000000000000004
53.0,-18.794227188081937
52.5,-18.300641423546452
52.0,-17.807055659010963
51.5,-17.313469894475478
51.0,-16.93378853714049
50.50000000000006,-16.554107179805502
50.0,-16.09848955100352
49.5,-15.79474446513553
