phi,intensity_dB
180.0,-20.941677175283736
179.5,-20.903110550651533
179.0,-20.78741067675493
178.5,-20.748844052122735
177.99999999999994,-20.55601092896175
177.5,-20.517444304329544
177.0,-20.478877679697348
176.5,-20.51744430432955
176.0,-20.594577553593936
175.5,-20.556010928961747
174.99999999999994,-20.517444304329544
174.5,-20.517444304329544
174.0,-20.440311055065145
173.5,-20.478877679697348
173.0,-20.478877679697348
172.5,-20.517444304329544
171.99999999999994,-20.51744430432955
171.5,-20.55601092896174
171.0,-20.55601092896174
170.5,-20.63314417822614
170.0,-20.71027742749054
169.5,-20.825977301387137
168.99999999999994,-20.86454392601933
168.5,-21.01881042454812
168.0,-21.25021017234132
167.5,-21.443043295502303
166.2322946175637,-22.047613859228584
165.5,-22.48434216057167
165.0,-22.715741908364855
164.19263456090653,-23.318152102854647
163.5,-23.988440521227403
162.99999999999994,-24.72120638923917
162.5,-25.222572509457756
162.1529745042493,-25.742536500326864
161.5,-26.418137873055898
161.0,-27.305170239596464
160.5,-27.999369482976036
160.11331444759207,-28.397690128568307
159.5,-29.46490121899957
159.09348441926346,-30.12911309653518
158.58356940509913,-30.821747657441698
157.5637393767705,-31.053170625408576
156.54390934844196,-30.47690128568314
156.03399433427762,-29.2079973850512
155.52407932011334,-27.93909348441926
155.0,-26.726670870113487
154.5,-26.032471626733923
153.5,-24.836906263135766
153.0,-23.679907524169813
152.5,-23.06284153005464
151.95467422096323,-22.518304641534097
151.4447592067989,-21.595554587056
150.42492917847028,-20.67313140117672
149.5,-20.054644808743163
148.5,-18.897646069777217
147.36543909348444,-18.021246458923507
147.0,-17.509247583018066
146.5,-17.31641445985708
146.0,-16.9693148381673
145.3257790368272,-16.29178470254957
144.49999999999994,-15.96658259773013
144.0,-15.73518284993695
143.79603399433432,-15.600457616038346
142.7762039660057,-15.254957507082144
141.49999999999994,-14.963850357292978
141.0,-14.925283732660782
140.5,-14.84815048339638
140.0,-14.771017234131984
139.5,-14.693883984867588
138.99999999999994,-14.693883984867592
138.49999999999994,-14.655317360235388
138.0,-14.655317360235392
137.5,-14.616750735603192
137.0,-14.616750735603192
135.0,-14.809583858764183
134.5,-14.848150483396385
134.0,-15.002416981925174
133.5,-15.040983606557376
132.99999999999994,-15.195250105086169
132.49999999999994,-15.23381672971836
132.0,-15.426649852879356
131.5,-15.46521647751156
131.0,-15.619482976040354
130.02832861189808,-15.955436914360424
129.0084985835694,-16.41762911309653
128.0,-16.737915090374102
127.5,-16.892181588902893
126.99999999999994,-17.23928121059268
126.49999999999994,-17.663514081546865
126.0,-17.740647330811264
125.5,-18.087746952501043
125.0,-18.16488020176544
123.99999999999994,-19.013345943673812
123.49999999999994,-19.244745691466996
123.0,-19.43757881462799
122.5,-19.66897856242118
122.0,-19.977511559478778
120.49999999999994,-20.671710802858335
120.0,-20.94167717528372
119.5,-21.018810424548136
119.0,-21.25021017234132
118.5,-21.25021017234132
117.49999999999994,-21.674443043295497
117.0,-21.751576292559896
116.5,-21.82870954182429
116.0,-21.82870954182429
115.5,-21.790142917192092
114.99999999999994,-21.713009667927693
114.49999999999994,-21.674443043295504
114.0,-21.558743169398905
113.5,-21.443043295502303
113.0,-21.134510298444717
112.5,-20.980243799915925
111.99999999999994,-20.787410676754934
111.0,-20.32461118116855
110.0,-19.861811685582182
109.5,-19.746111811685587
108.49999999999994,-19.2061790668348
108.0,-19.1290458175704
107.5,-18.97477931904161
107.0,-18.897646069777217
106.5,-18.704812946616222
105.5524079320113,-18.39420353018086
104.5,-18.049180327868847
104.0,-17.972047078604454
103.5,-17.93348045397226
103.0,-17.817780580075656
102.5,-17.817780580075656
102.0,-17.894913829340055
101.5,-17.93348045397225
101.0,-18.01061370323665
100.5,-18.087746952501043
100.0,-18.16488020176545
99.5,-18.16488020176544
97.5,-18.704812946616222
97.0,-18.74337957124842
96.5,-19.013345943673805
96.0,-19.090479192938204
95.5,-19.28331231609919
94.0,-19.938944934846575
93.5,-20.09321143337536
93.0,-20.286044556536353
92.5,-20.51744430432955
92.0,-20.63314417822614
91.0,-21.250210172341312
90.5,-21.443043295502303
89.74504249291789,-21.981259533667465
89.0,-22.638608659100463
88.5,-22.94714165615804
88.0,-23.29424127784783
87.0,-24.41267339218158
86.5,-24.60550651534257
86.0,-24.875472887767963
85.5,-25.10687263556116
85.0,-25.145439260193356
84.5,-25.184005884825552
83.5,-23.8727406473308
83.0,-23.29424127784783
82.5,-22.29150903741067
82.0,-21.751576292559896
81.5,-21.01881042454812
81.0,-20.47887767969734
80.5,-19.938944934846575
80.0,-19.553278688524586
79.5,-18.704812946616222
79.0,-18.16488020176544
78.5,-17.856347204707852
77.50708215297453,-17.142950533885376
76.5,-16.46794871794871
76.0,-16.352248844052113
75.5,-16.236548970155525
75.0,-16.04371584699453
74.0,-15.31094997898276
73.5,-15.233816729718368
73.0,-15.04098360655738
72.5,-14.848150483396385
72.0,-14.655317360235385
71.5,-14.616750735603192
70.5,-14.115384615384608
70.0,-14.038251366120216
69.5,-13.961118116855816
69.0,-13.845418242959218
68.5,-13.768284993694827
68.0,-13.729718369062626
67.5,-13.69115174443043
67.0,-13.691151744430432
66.5,-13.69115174443043
66.0,-13.69115174443043
65.5,-13.69115174443043
63.5,-14.153951240016816
63.0,-14.269651113913405
62.5,-14.385350987810002
61.189801699716725,-14.730333405970796
60.0,-15.310949978982764
59.5,-15.465216477511552
59.0,-15.735182849936942
58.5,-15.812316099201343
58.0,-16.082282471626733
57.11048158640227,-16.579102200915223
56.5,-17.200714585960483
56.0,-17.50924758301808
55.0,-18.20344682639764
54.56090651558077,-18.426890390063186
54.0,-18.97477931904161
53.5,-19.129045817570407
53.0,-19.39901218999579
52.5,-19.630411937788985
52.01133144475921,-20.04390934844192
51.0,-20.478877679697348
50.5,-20.748844052122735
50.0,-20.90311055065153
49.5,-20.90311055065153
49.0,-20.903110550651533
48.5,-20.787410676754934
48.0,-20.71027742749054
47.42209631728048,-20.27762039660056
47.0,-19.66897856242118
46.0,-18.589113072719627
45.5,-17.70208070617906
45.0,-16.853614964270697
44.5,-16.27511559478772
44.0,-15.388083228247169
43.5,-14.809583858764189
43.0,-14.23108448928121
