phi,intensity_dB
180.0,-20.436622073578583
179.49999999999994,-20.4734448160535
179.00000000000006,-20.54709030100333
178.3928571428571,-20.76923076923076
177.5,-21.025785953177248
176.99999999999994,-21.173076923076913
176.50000000000006,-21.32036789297658
175.71428571428572,-21.576923076923062
175.17857142857144,-21.8076923076923
174.6428571428571,-22.03846153846153
174.1071428571429,-22.384615384615376
173.57142857142856,-22.61538461538461
173.0357142857143,-22.846153846153836
172.5,-23.076923076923062
171.9642857142857,-23.307692307692296
171.42857142857144,-23.653846153846143
170.8928571428571,-23.99999999999999
170.0,-24.33983277591972
169.5,-24.450301003344467
168.99999999999994,-24.413478260869553
168.5,-24.413478260869553
168.0,-24.413478260869553
167.5,-24.33983277591972
167.0,-24.229364548494967
166.49999999999994,-24.082073578595303
166.00000000000006,-24.00842809364547
165.5,-23.897959866220724
165.0,-23.713846153846134
164.5,-23.52973244147156
163.99999999999994,-23.19832775919731
163.50000000000006,-23.08785953177256
163.0,-22.64598662207357
162.5,-22.53551839464882
162.0,-22.20411371237457
161.5,-21.946354515050157
161.00000000000006,-21.54130434782607
160.5,-21.32036789297658
160.0,-20.952140468227412
159.1071428571429,-20.653846153846143
158.50000000000006,-20.252508361204004
157.5,-19.730769230769223
156.42857142857144,-19.384615384615376
155.3571428571429,-19.03846153846153
153.49999999999994,-18.8900668896321
153.00000000000006,-18.8900668896321
152.5,-18.8900668896321
152.0,-18.96371237458193
151.5,-19.00053511705684
150.99999999999994,-19.07418060200668
150.50000000000006,-19.147826086956513
150.0,-19.221471571906346
148.39285714285717,-19.61538461538461
147.5,-20.105217391304336
147.0,-20.4734448160535
146.5,-20.58391304347825
146.0,-21.025785953177248
145.50000000000006,-21.578127090300995
145.0,-21.79906354515049
144.5,-22.4986956521739
144.0,-22.756454849498315
143.5,-23.456086956521723
142.99999999999994,-24.00842809364547
142.5,-24.928996655518382
142.0,-25.22357859531771
141.4285714285714,-25.730769230769223
141.0,-26.29143812709029
140.35714285714283,-26.653846153846143
139.28571428571428,-26.769230769230763
138.5,-26.43872909698995
138.21428571428572,-25.96153846153845
137.6785714285714,-25.26923076923076
137.0,-24.744882943143796
136.5,-24.523946488294303
136.0,-24.229364548494967
135.49999999999994,-23.677023411371223
135.00000000000006,-23.08785953177256
134.5,-22.977391304347815
134.0,-22.60916387959865
133.5,-22.16729096989965
133.0,-22.13046822742474
132.50000000000006,-22.01999999999999
132.0,-22.01999999999999
131.5,-22.056822742474903
131.0,-22.09364548494982
130.5,-22.24093645484949
129.99999999999994,-22.425050167224065
129.0,-23.23515050167223
128.0,-23.82431438127089
127.49999999999994,-24.57692307692307
126.5,-25.48133779264213
125.89285714285715,-26.653846153846143
125.35714285714285,-28.03846153846153
124.82142857142856,-30.92307692307691
124.28571428571428,-34.84615384615384
123.74999999999994,-38.30769230769229
123.21428571428572,-40.73076923076921
122.6785714285714,-45.346153846153825
122.14285714285715,-43.846153846153825
121.60714285714285,-41.769230769230745
121.07142857142856,-38.53846153846152
120.53571428571428,-34.84615384615384
120.0,-33.1153846153846
119.46428571428572,-31.84615384615383
118.9285714285714,-31.03846153846152
118.5,-30.452408026755837
118.0,-30.12100334448159
117.5,-29.568662207357843
116.5,-28.721739130434766
115.5,-27.911638795986608
114.49999999999994,-27.690702341137108
114.0,-27.65387959866219
113.5,-27.61705685618728
113.0,-27.65387959866219
112.5,-27.690702341137108
111.42857142857144,-28.03846153846153
110.5,-28.463979933110355
110.0,-28.90585284280935
109.49999999999994,-29.237257525083596
108.5,-29.973712374581925
108.0,-30.378762541806
107.5,-31.07839464882942
107.14285714285712,-31.615384615384603
106.60714285714288,-32.76923076923076
106.07142857142856,-34.26923076923076
105.53571428571432,-35.653846153846146
105.0,-38.423076923076906
104.46428571428568,-38.653846153846146
103.92857142857144,-38.53846153846152
103.39285714285712,-37.26923076923076
102.85714285714288,-35.30769230769229
102.32142857142856,-32.76923076923076
101.78571428571432,-30.692307692307683
101.49999999999994,-29.237257525083596
101.25,-28.49999999999999
100.71428571428568,-27.807692307692296
100.17857142857144,-26.884615384615376
99.5,-25.739096989966544
98.99999999999994,-24.523946488294303
98.50000000000006,-24.192541806020053
98.0,-23.75066889632106
97.5,-23.271973244147144
97.0,-23.271973244147144
96.49999999999994,-23.271973244147144
96.00000000000006,-23.308795986622066
95.5,-23.456086956521723
94.5,-23.971605351170552
94.0,-25.113110367892965
93.50000000000006,-25.702274247491623
93.0,-26.3282608695652
92.6785714285714,-27.115384615384603
92.14285714285712,-27.92307692307691
91.60714285714285,-28.84615384615383
91.07142857142856,-29.53846153846152
90.53571428571428,-31.153846153846136
90.0,-28.615384615384603
89.46428571428567,-27.115384615384603
89.0,-25.260401337792626
88.39285714285711,-23.423076923076913
87.5,-22.01999999999999
87.0,-21.09943143812708
86.5,-20.62073578595316
86.25,-19.961538461538453
85.71428571428572,-19.384615384615376
85.17857142857139,-18.692307692307683
84.0,-18.300903010033434
83.5,-18.300903010033434
83.0,-18.33772575250835
82.5,-18.37454849498327
81.5,-18.926889632107013
81.0,-19.552876254180592
80.0,-20.252508361204004
79.82142857142856,-20.76923076923076
79.28571428571428,-21.692307692307686
78.75,-22.61538461538461
78.21428571428572,-23.076923076923062
77.14285714285717,-23.423076923076913
76.60714285714289,-22.846153846153836
76.07142857142856,-22.03846153846153
75.5,-21.06260869565217
75.0,-20.436622073578583
74.5,-19.810635451505007
74.0,-19.221471571906346
73.39285714285717,-18.346153846153836
72.85714285714283,-17.769230769230763
72.5,-17.34351170568561
72.32142857142856,-16.730769230769223
71.5,-16.054715719063537
71.0,-15.83377926421404
70.5,-15.61284280936454
69.5,-15.207792642140458
69.0,-15.207792642140458
68.5,-15.244615384615376
68.0,-15.465551839464876
67.5,-15.61284280936454
67.0,-15.944247491638787
66.5,-16.386120401337784
66.0,-17.012107023411364
65.5,-17.601270903010025
65.0,-18.15361204013377
64.82142857142856,-18.461538461538456
64.28571428571428,-19.153846153846143
63.75,-20.07692307692307
63.21428571428572,-21.34615384615384
62.14285714285711,-21.8076923076923
61.071428571428555,-20.76923076923076
60.53571428571428,-19.846153846153836
60.0,-18.346153846153836
59.5,-17.601270903010025
59.0,-17.048929765886278
58.5,-16.53341137123745
58.39285714285711,-16.038461538461533
58.0,-15.539197324414708
57.5,-15.244615384615376
57.321428571428555,-14.999999999999991
56.78571428571428,-14.653846153846146
56.0,-14.139933110367885
55.5,-14.066287625418052
55.0,-13.99264214046822
54.5,-13.918996655518388
54.0,-13.99264214046822
53.5,-14.066287625418052
53.0,-14.176755852842804
51.96428571428572,-14.653846153846146
51.428571428571445,-15.115384615384606
51.0,-15.50237458193979
50.89285714285711,-16.038461538461533
50.35714285714283,-17.07692307692307
49.821428571428555,-18.346153846153836
49.0,-19.36876254180601
48.75,-20.53846153846153
48.0,-22.31458193979932
47.678571428571445,-23.53846153846153
47.14285714285717,-25.153846153846143
46.60714285714289,-30.92307692307691
45.53571428571428,-36.923076923076906
45.0,-32.19230769230768
44.46428571428572,-27.115384615384603
43.928571428571445,-23.423076923076913
43.5,-20.58391304347825
43.0,-19.810635451505007
42.5,-18.926889632107013
42.0,-18.006321070234105
41.5,-17.527625418060193
41.0,-16.570234113712367
40.5,-15.981070234113703
39.5,-15.097324414715713
38.0,-14.692274247491632
37.5,-14.6186287625418
36.0,-14.913210702341129
35.5,-15.097324414715713
34.821428571428555,-15.34615384615384
34.28571428571428,-15.8076923076923
33.75,-16.269230769230763
33.21428571428572,-16.84615384615384
32.67857142857139,-17.3076923076923
32.14285714285711,-17.99999999999999
31.607142857142833,-18.57692307692307
31.071428571428555,-19.03846153846153
30.53571428571428,-19.384615384615376
30.0,-19.730769230769223
29.464285714285666,-19.846153846153836
28.928571428571388,-19.730769230769223
28.39285714285711,-19.269230769230763
27.857142857142833,-18.11538461538461
27.321428571428555,-16.961538461538456
26.78571428571428,-15.923076923076916
26.25,-14.653846153846146
25.714285714285666,-13.61538461538461
